"","End.Date","State","YearQuarter","YearMonth","Latino","Indigenous","Asian","Black","Pacific Islander","White","More than one race"
"77",2021-03-31,"Connecticut","Cumulative from 2020, Quarter 2 through 2021, Quarter 1","3/2021",138.352076667934,NA,67.2178144443615,273.897782311504,NA,259.088336415975,NA
"78",2021-06-30,"Connecticut","Cumulative from 2020, Quarter 2 through 2021, Quarter 2","6/2021",150.098951102004,NA,70.6648818517646,289.426688835519,NA,267.703077443937,NA
"79",2021-09-30,"Connecticut","Cumulative from 2020, Quarter 2 through 2021, Quarter 3","9/2021",156.135539352845,NA,73.5374380246006,300.671759077047,NA,278.385356318611,NA
"80",2021-12-31,"Connecticut","Cumulative from 2020, Quarter 2 through 2021, Quarter 4","12/2021",166.577205516463,NA,81.0060840739741,323.429639327759,NA,302.506631196906,NA
"81",2022-03-31,"Connecticut","Cumulative from 2020, Quarter 2 through 2022, Quarter 1","3/2022",194.149730229766,NA,93.0708199998851,370.016358899804,NA,347.174063426892,NA
"82",2020-06-30,"Delaware","2020, Quarter 2","6/2020",25.7524876903109,NA,NA,58.0991070121505,0,63.3994380353477,NA
"83",2020-09-30,"Delaware","Cumulative from 2020, Quarter 2 through 2020, Quarter 3","9/2020",37.0835822740477,NA,NA,69.5359391011565,0,71.6977937991366,NA
"84",2020-12-31,"Delaware","Cumulative from 2020, Quarter 2 through 2020, Quarter 4","12/2020",52.5350748882342,NA,24.5260343855002,114.82579417362,0,127.79467876235,NA
"85",2021-03-31,"Delaware","Cumulative from 2020, Quarter 2 through 2021, Quarter 1","3/2021",72.1069655328705,NA,44.1468618939004,159.658175962524,0,196.671031601798,NA
"86",2021-06-30,"Delaware","Cumulative from 2020, Quarter 2 through 2021, Quarter 2","6/2021",77.2574630709326,NA,49.0520687710004,174.754794320012,0,212.769841783549,NA
"87",2021-09-30,"Delaware","Cumulative from 2020, Quarter 2 through 2021, Quarter 3","9/2021",85.4982591318321,NA,53.9572756481005,196.713511930903,0,237.167007729089,NA
"88",2021-12-31,"Delaware","Cumulative from 2020, Quarter 2 through 2021, Quarter 4","12/2021",105.070149776468,NA,58.8624825252005,230.109061630801,NA,284.30166846741,NA
