"","End.Date","State","YearQuarter","White","Latino","Black","Asian","Indigenous","More than one race","Pacific Islander","End.Date2"
"407",2020-09-30,"Washington","Cumulative from 2020, Quarter 2 through 2020, Quarter 3",1395,303,64,152,57,NA,34,"Sep 30, 2020"
"408",2020-12-31,"Washington","Cumulative from 2020, Quarter 2 through 2020, Quarter 4",2638,467,124,263,95,NA,61,"Dec 31, 2020"
"409",2021-03-31,"Washington","Cumulative from 2020, Quarter 2 through 2021, Quarter 1",3639,602,164,389,133,NA,87,"Mar 31, 2021"
"410",2021-06-30,"Washington","Cumulative from 2020, Quarter 2 through 2021, Quarter 2",4113,684,206,441,155,NA,105,"Jun 30, 2021"
"411",2021-09-30,"Washington","Cumulative from 2020, Quarter 2 through 2021, Quarter 3",5672,868,267,516,200,NA,149,"Sep 30, 2021"
"412",2021-12-31,"Washington","Cumulative from 2020, Quarter 2 through 2021, Quarter 4",7270,1027,321,574,248,NA,183,"Dec 31, 2021"
"413",2020-03-31,"West Virginia","2020, Quarter 1",NA,0,NA,0,0,NA,0,"Mar 31, 2020"
"414",2020-06-30,"West Virginia","2020, Quarter 2",95,0,NA,NA,0,NA,0,"Jun 30, 2020"
"415",2020-09-30,"West Virginia","Cumulative from 2020, Quarter 2 through 2020, Quarter 3",342,0,13,NA,NA,NA,0,"Sep 30, 2020"
"416",2020-12-31,"West Virginia","Cumulative from 2020, Quarter 2 through 2020, Quarter 4",1498,NA,47,NA,NA,NA,0,"Dec 31, 2020"
"417",2021-03-31,"West Virginia","Cumulative from 2020, Quarter 2 through 2021, Quarter 1",2557,NA,84,NA,NA,NA,NA,"Mar 31, 2021"
"418",2021-06-30,"West Virginia","Cumulative from 2020, Quarter 2 through 2021, Quarter 2",2875,11,101,NA,NA,NA,NA,"Jun 30, 2021"
"419",2021-09-30,"West Virginia","Cumulative from 2020, Quarter 2 through 2021, Quarter 3",3788,16,123,11,NA,NA,NA,"Sep 30, 2021"
"420",2021-12-31,"West Virginia","Cumulative from 2020, Quarter 2 through 2021, Quarter 4",5181,29,158,15,NA,NA,NA,"Dec 31, 2021"
"421",2020-03-31,"Wisconsin","2020, Quarter 1",20,NA,20,NA,0,NA,0,"Mar 31, 2020"
"422",2020-06-30,"Wisconsin","2020, Quarter 2",488,91,194,23,NA,NA,0,"Jun 30, 2020"
"423",2020-09-30,"Wisconsin","Cumulative from 2020, Quarter 2 through 2020, Quarter 3",943,152,237,40,12,NA,NA,"Sep 30, 2020"
"424",2020-12-31,"Wisconsin","Cumulative from 2020, Quarter 2 through 2020, Quarter 4",5326,333,426,106,78,NA,NA,"Dec 31, 2020"
"425",2021-03-31,"Wisconsin","Cumulative from 2020, Quarter 2 through 2021, Quarter 1",6777,388,509,134,96,NA,NA,"Mar 31, 2021"
"426",2021-06-30,"Wisconsin","Cumulative from 2020, Quarter 2 through 2021, Quarter 2",7122,415,554,141,102,NA,NA,"Jun 30, 2021"
"427",2021-09-30,"Wisconsin","Cumulative from 2020, Quarter 2 through 2021, Quarter 3",7977,457,643,167,114,NA,NA,"Sep 30, 2021"
"428",2021-12-31,"Wisconsin","Cumulative from 2020, Quarter 2 through 2021, Quarter 4",10518,559,812,218,141,NA,NA,"Dec 31, 2021"
"429",2020-03-31,"Wyoming","2020, Quarter 1",0,0,0,0,0,NA,0,"Mar 31, 2020"
"430",2020-06-30,"Wyoming","2020, Quarter 2",NA,NA,0,0,NA,NA,0,"Jun 30, 2020"
"431",2020-09-30,"Wyoming","Cumulative from 2020, Quarter 2 through 2020, Quarter 3",24,NA,0,0,14,NA,0,"Sep 30, 2020"
"432",2020-12-31,"Wyoming","Cumulative from 2020, Quarter 2 through 2020, Quarter 4",371,41,NA,NA,40,NA,0,"Dec 31, 2020"
"433",2021-03-31,"Wyoming","Cumulative from 2020, Quarter 2 through 2021, Quarter 1",512,55,NA,NA,45,NA,0,"Mar 31, 2021"
"434",2021-06-30,"Wyoming","Cumulative from 2020, Quarter 2 through 2021, Quarter 2",549,62,NA,NA,50,NA,0,"Jun 30, 2021"
"435",2021-09-30,"Wyoming","Cumulative from 2020, Quarter 2 through 2021, Quarter 3",802,88,NA,NA,59,NA,0,"Sep 30, 2021"
"436",2021-12-31,"Wyoming","Cumulative from 2020, Quarter 2 through 2021, Quarter 4",1174,123,NA,NA,75,NA,NA,"Dec 31, 2021"
