"","End.Date","State","YearQuarter","White","Latino","Black","Asian","Indigenous","More than one race","Pacific Islander","End.Date2"
"139",2021-09-30,"Illinois","Cumulative from 2020, Quarter 2 through 2021, Quarter 3",15428,3860,4405,850,18,NA,NA,"Sep 30, 2021"
"140",2021-12-31,"Illinois","Cumulative from 2020, Quarter 2 through 2021, Quarter 4",17976,4210,4971,920,21,NA,NA,"Dec 31, 2021"
"141",2020-03-31,"Indiana","2020, Quarter 1",77,NA,48,0,0,NA,0,"Mar 31, 2020"
"142",2020-06-30,"Indiana","2020, Quarter 2",2010,107,545,31,NA,NA,NA,"Jun 30, 2020"
"143",2020-09-30,"Indiana","Cumulative from 2020, Quarter 2 through 2020, Quarter 3",2934,176,685,37,NA,NA,NA,"Sep 30, 2020"
"144",2020-12-31,"Indiana","Cumulative from 2020, Quarter 2 through 2020, Quarter 4",8222,367,1067,83,13,NA,NA,"Dec 31, 2020"
"145",2021-03-31,"Indiana","Cumulative from 2020, Quarter 2 through 2021, Quarter 1",10931,497,1330,116,16,NA,NA,"Mar 31, 2021"
"146",2021-06-30,"Indiana","Cumulative from 2020, Quarter 2 through 2021, Quarter 2",11602,551,1460,119,18,NA,11,"Jun 30, 2021"
"147",2021-09-30,"Indiana","Cumulative from 2020, Quarter 2 through 2021, Quarter 3",13450,637,1659,129,20,NA,11,"Sep 30, 2021"
"148",2021-12-31,"Indiana","Cumulative from 2020, Quarter 2 through 2021, Quarter 4",16833,778,1952,141,25,NA,12,"Dec 31, 2021"
"149",2020-03-31,"Iowa","2020, Quarter 1",10,0,0,0,0,NA,0,"Mar 31, 2020"
"150",2020-06-30,"Iowa","2020, Quarter 2",594,60,45,29,13,NA,10,"Jun 30, 2020"
"151",2020-09-30,"Iowa","Cumulative from 2020, Quarter 2 through 2020, Quarter 3",1238,82,69,33,15,NA,11,"Sep 30, 2020"
"152",2020-12-31,"Iowa","Cumulative from 2020, Quarter 2 through 2020, Quarter 4",4398,139,128,56,29,NA,12,"Dec 31, 2020"
"153",2021-03-31,"Iowa","Cumulative from 2020, Quarter 2 through 2021, Quarter 1",5437,169,163,69,43,NA,12,"Mar 31, 2021"
"154",2021-06-30,"Iowa","Cumulative from 2020, Quarter 2 through 2021, Quarter 2",5664,184,172,73,46,NA,12,"Jun 30, 2021"
"155",2021-09-30,"Iowa","Cumulative from 2020, Quarter 2 through 2021, Quarter 3",6215,209,204,77,50,NA,14,"Sep 30, 2021"
"156",2021-12-31,"Iowa","Cumulative from 2020, Quarter 2 through 2021, Quarter 4",7572,250,239,92,58,NA,14,"Dec 31, 2021"
"157",2020-03-31,"Kansas","2020, Quarter 1",NA,NA,NA,0,0,NA,0,"Mar 31, 2020"
"158",2020-06-30,"Kansas","2020, Quarter 2",177,44,58,NA,NA,NA,NA,"Jun 30, 2020"
"159",2020-09-30,"Kansas","Cumulative from 2020, Quarter 2 through 2020, Quarter 3",551,123,108,15,15,NA,NA,"Sep 30, 2020"
"160",2020-12-31,"Kansas","Cumulative from 2020, Quarter 2 through 2020, Quarter 4",2839,306,212,45,41,NA,NA,"Dec 31, 2020"
"161",2021-03-31,"Kansas","Cumulative from 2020, Quarter 2 through 2021, Quarter 1",3946,395,282,72,56,NA,NA,"Mar 31, 2021"
"162",2021-06-30,"Kansas","Cumulative from 2020, Quarter 2 through 2021, Quarter 2",4111,419,296,75,58,NA,NA,"Jun 30, 2021"
"163",2021-09-30,"Kansas","Cumulative from 2020, Quarter 2 through 2021, Quarter 3",4924,485,380,84,68,NA,10,"Sep 30, 2021"
"164",2021-12-31,"Kansas","Cumulative from 2020, Quarter 2 through 2021, Quarter 4",5911,594,440,100,82,NA,12,"Dec 31, 2021"
"165",2020-03-31,"Kentucky","2020, Quarter 1",22,0,NA,NA,0,NA,0,"Mar 31, 2020"
"166",2020-06-30,"Kentucky","2020, Quarter 2",514,24,98,12,0,NA,0,"Jun 30, 2020"
"167",2020-09-30,"Kentucky","Cumulative from 2020, Quarter 2 through 2020, Quarter 3",1195,49,168,17,NA,NA,0,"Sep 30, 2020"
"168",2020-12-31,"Kentucky","Cumulative from 2020, Quarter 2 through 2020, Quarter 4",4050,92,440,23,NA,NA,NA,"Dec 31, 2020"
"169",2021-03-31,"Kentucky","Cumulative from 2020, Quarter 2 through 2021, Quarter 1",6330,115,626,34,NA,NA,NA,"Mar 31, 2021"
"170",2021-06-30,"Kentucky","Cumulative from 2020, Quarter 2 through 2021, Quarter 2",6868,121,672,38,NA,NA,NA,"Jun 30, 2021"
"171",2021-09-30,"Kentucky","Cumulative from 2020, Quarter 2 through 2021, Quarter 3",9510,163,848,49,NA,NA,NA,"Sep 30, 2021"
"172",2021-12-31,"Kentucky","Cumulative from 2020, Quarter 2 through 2021, Quarter 4",11896,204,992,60,10,NA,10,"Dec 31, 2021"
"173",2020-03-31,"Louisiana","2020, Quarter 1",113,10,273,NA,0,NA,0,"Mar 31, 2020"
"174",2020-06-30,"Louisiana","2020, Quarter 2",1354,82,1659,19,10,NA,0,"Jun 30, 2020"
"175",2020-09-30,"Louisiana","Cumulative from 2020, Quarter 2 through 2020, Quarter 3",2580,147,2416,33,18,NA,NA,"Sep 30, 2020"
"176",2020-12-31,"Louisiana","Cumulative from 2020, Quarter 2 through 2020, Quarter 4",3849,185,2950,43,23,NA,NA,"Dec 31, 2020"
"177",2021-03-31,"Louisiana","Cumulative from 2020, Quarter 2 through 2021, Quarter 1",5320,251,3658,71,32,NA,NA,"Mar 31, 2021"
"178",2021-06-30,"Louisiana","Cumulative from 2020, Quarter 2 through 2021, Quarter 2",5598,265,3832,73,33,NA,NA,"Jun 30, 2021"
"179",2021-09-30,"Louisiana","Cumulative from 2020, Quarter 2 through 2021, Quarter 3",7803,357,4744,98,61,NA,NA,"Sep 30, 2021"
"180",2021-12-31,"Louisiana","Cumulative from 2020, Quarter 2 through 2021, Quarter 4",8306,390,4950,101,74,NA,NA,"Dec 31, 2021"
"181",2020-03-31,"Maine","2020, Quarter 1",NA,0,0,0,0,NA,NA,"Mar 31, 2020"
"182",2020-06-30,"Maine","2020, Quarter 2",103,NA,NA,0,0,NA,0,"Jun 30, 2020"
"183",2020-09-30,"Maine","Cumulative from 2020, Quarter 2 through 2020, Quarter 3",146,NA,NA,0,0,NA,0,"Sep 30, 2020"
"184",2020-12-31,"Maine","Cumulative from 2020, Quarter 2 through 2020, Quarter 4",443,NA,NA,0,NA,NA,0,"Dec 31, 2020"
"185",2021-03-31,"Maine","Cumulative from 2020, Quarter 2 through 2021, Quarter 1",805,NA,11,NA,NA,NA,0,"Mar 31, 2021"
"186",2021-06-30,"Maine","Cumulative from 2020, Quarter 2 through 2021, Quarter 2",939,NA,12,NA,NA,NA,0,"Jun 30, 2021"
"187",2021-09-30,"Maine","Cumulative from 2020, Quarter 2 through 2021, Quarter 3",1129,NA,12,NA,NA,NA,0,"Sep 30, 2021"
"188",2021-12-31,"Maine","Cumulative from 2020, Quarter 2 through 2021, Quarter 4",1826,NA,17,NA,10,NA,0,"Dec 31, 2021"
"189",2020-03-31,"Maryland","2020, Quarter 1",24,NA,18,NA,0,NA,0,"Mar 31, 2020"
"190",2020-06-30,"Maryland","2020, Quarter 2",1508,394,1474,141,NA,NA,0,"Jun 30, 2020"
"191",2020-09-30,"Maryland","Cumulative from 2020, Quarter 2 through 2020, Quarter 3",1834,497,1809,168,NA,NA,0,"Sep 30, 2020"
"192",2020-12-31,"Maryland","Cumulative from 2020, Quarter 2 through 2020, Quarter 4",3292,652,2514,234,NA,NA,NA,"Dec 31, 2020"
"193",2021-03-31,"Maryland","Cumulative from 2020, Quarter 2 through 2021, Quarter 1",4856,842,3380,350,11,NA,NA,"Mar 31, 2021"
"194",2021-06-30,"Maryland","Cumulative from 2020, Quarter 2 through 2021, Quarter 2",5265,914,3846,385,13,NA,NA,"Jun 30, 2021"
"195",2021-09-30,"Maryland","Cumulative from 2020, Quarter 2 through 2021, Quarter 3",5718,943,4109,404,14,NA,NA,"Sep 30, 2021"
"196",2021-12-31,"Maryland","Cumulative from 2020, Quarter 2 through 2021, Quarter 4",6776,1004,4510,434,17,NA,NA,"Dec 31, 2021"
"197",2020-03-31,"Massachusetts","2020, Quarter 1",106,10,NA,NA,0,NA,0,"Mar 31, 2020"
"198",2020-06-30,"Massachusetts","2020, Quarter 2",6211,524,670,233,NA,NA,NA,"Jun 30, 2020"
"199",2020-09-30,"Massachusetts","Cumulative from 2020, Quarter 2 through 2020, Quarter 3",6547,559,706,237,NA,NA,NA,"Sep 30, 2020"
"200",2020-12-31,"Massachusetts","Cumulative from 2020, Quarter 2 through 2020, Quarter 4",8162,761,815,318,NA,NA,NA,"Dec 31, 2020"
"201",2021-03-31,"Massachusetts","Cumulative from 2020, Quarter 2 through 2021, Quarter 1",10458,1039,998,433,12,NA,NA,"Mar 31, 2021"
"202",2021-06-30,"Massachusetts","Cumulative from 2020, Quarter 2 through 2021, Quarter 2",10830,1118,1057,461,12,NA,NA,"Jun 30, 2021"
"203",2021-09-30,"Massachusetts","Cumulative from 2020, Quarter 2 through 2021, Quarter 3",11281,1170,1114,471,12,NA,NA,"Sep 30, 2021"
"204",2021-12-31,"Massachusetts","Cumulative from 2020, Quarter 2 through 2021, Quarter 4",12457,1276,1205,522,14,NA,NA,"Dec 31, 2021"
"205",2020-03-31,"Michigan","2020, Quarter 1",156,NA,322,10,0,NA,NA,"Mar 31, 2020"
"206",2020-06-30,"Michigan","2020, Quarter 2",2974,128,2414,89,NA,NA,0,"Jun 30, 2020"
"207",2020-09-30,"Michigan","Cumulative from 2020, Quarter 2 through 2020, Quarter 3",3439,175,2541,99,14,NA,0,"Sep 30, 2020"
"208",2020-12-31,"Michigan","Cumulative from 2020, Quarter 2 through 2020, Quarter 4",8390,409,3124,175,47,NA,NA,"Dec 31, 2020"
