"","End.Date","State","Race.Ethnicity","Number of COVID-19 Deaths","Population","Crude Rate","age_adjusted_rate_direct","age_adjusted_rate_indirect","Direct_Available","Age-Adjusted Rate"
"119","04/30/2022","Louisiana","Pacific Islander","     NA",1799,NA,NA,NA,FALSE,NA
"120","04/30/2022","Louisiana","Latino","    434",252634,172,NA,300.519629906883,FALSE,301
"121","04/30/2022","Maine","White","  2,393",1252169,191,NA,152.420703755976,FALSE,152
"122","04/30/2022","Maine","Black","     18",22514,80,NA,NA,FALSE,NA
"123","04/30/2022","Maine","Indigenous","     14",8794,159,NA,NA,FALSE,NA
"124","04/30/2022","Maine","Asian","     NA",17700,NA,NA,NA,FALSE,NA
"125","04/30/2022","Maine","Pacific Islander","      0",422,0,0,NA,TRUE,0
"126","04/30/2022","Maine","Latino","     13",25266,51,NA,NA,FALSE,NA
"127","04/30/2022","Maryland","White","  8,402",2998482,280,223.144765218731,228.535621703384,TRUE,223
"128","04/30/2022","Maryland","Black","  5,345",1822724,293,358.982274751976,359.756013685913,TRUE,359
"129","04/30/2022","Maryland","Indigenous","     19",14640,130,NA,NA,FALSE,NA
"130","04/30/2022","Maryland","Asian","    526",406848,129,NA,153.513867136231,FALSE,154
"131","04/30/2022","Maryland","Pacific Islander","     NA",3028,NA,NA,NA,FALSE,NA
"132","04/30/2022","Maryland","Latino","  1,112",654437,170,371.326263247185,395.960627060725,TRUE,371
"133","04/30/2022","Massachusetts","White"," 14,497",4863382,298,233.709263549849,243.548644512469,TRUE,234
"134","04/30/2022","Massachusetts","Black","  1,375",510208,269,NA,382.739058835523,FALSE,383
"135","04/30/2022","Massachusetts","Indigenous","     21",12490,168,NA,NA,FALSE,NA
"136","04/30/2022","Massachusetts","Asian","    595",504606,118,NA,184.42095707596,FALSE,184
"137","04/30/2022","Massachusetts","Pacific Islander","     NA",3085,NA,NA,NA,FALSE,NA
"138","04/30/2022","Massachusetts","Latino","  1,472",867425,170,380.430374443865,359.216360663011,TRUE,380
"139","04/30/2022","Michigan","White"," 23,812",7425115,321,272.598121814095,275.435542844179,TRUE,273
"140","04/30/2022","Michigan","Black","  6,126",1370393,447,543.964322985662,556.392188146797,TRUE,544
"141","04/30/2022","Michigan","Indigenous","    164",56766,289,NA,NA,FALSE,NA
"142","04/30/2022","Michigan","Asian","    304",333776,91,NA,144.930793653851,FALSE,145
"143","04/30/2022","Michigan","Pacific Islander","     11",2872,383,NA,NA,FALSE,NA
"144","04/30/2022","Michigan","Latino","  1,183",542105,218,475.13692569522,497.253257477377,TRUE,475
